Buying, Maint, Lug_boot, Safety, Acceptability
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,vhigh,small,low,unacc
vhigh,vhigh,small,med,unacc
vhigh,vhigh,small,high,unacc
vhigh,vhigh,med,low,unacc
vhigh,vhigh,med,med,unacc
vhigh,vhigh,med,high,unacc
vhigh,vhigh,big,low,unacc
vhigh,vhigh,big,med,unacc
vhigh,vhigh,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
vhigh,high,small,high,unacc
vhigh,high,med,low,unacc
vhigh,high,med,med,unacc
vhigh,high,med,high,unacc
vhigh,high,big,low,unacc
vhigh,high,big,med,unacc
vhigh,high,big,high,unacc
vhigh,high,small,low,unacc
vhigh,high,small,med,unacc
